,superkingdom,phylum,class,order,family,genus,species
1034015,2157.0,651137.0,1643678.0,1033996.0,1033997.0,497726.0,1034015.0
358,2.0,1224.0,28211.0,356.0,82115.0,357.0,358.0
34085,2.0,976.0,117743.0,200644.0,2762318.0,34084.0,34085.0
34021,2.0,1224.0,28211.0,356.0,82115.0,34019.0,34021.0
550,2.0,1224.0,1236.0,91347.0,543.0,547.0,550.0
67780,2.0,1224.0,1236.0,91347.0,1903412.0,635.0,67780.0
1591,2.0,1239.0,91061.0,186826.0,33958.0,1578.0,1591.0
767892,2.0,1224.0,28211.0,,,767891.0,767892.0
3038074,2.0,1224.0,28211.0,766.0,942.0,953.0,3038074.0
180837,2.0,1224.0,28211.0,766.0,942.0,953.0,180837.0
1823,2.0,201174.0,1760.0,85007.0,85025.0,1817.0,1823.0
1833,2.0,201174.0,1760.0,85007.0,85025.0,1827.0,1833.0
33008,2.0,201174.0,1760.0,85007.0,85025.0,1827.0,33008.0
37326,2.0,201174.0,1760.0,85007.0,85025.0,1817.0,37326.0
2061,2.0,201174.0,1760.0,85007.0,85028.0,2060.0,2061.0
330834,2.0,201174.0,1760.0,85006.0,85021.0,99479.0,330834.0
1160,2.0,1117.0,3028117.0,1150.0,1892252.0,54304.0,1160.0
623,2.0,1224.0,1236.0,91347.0,543.0,620.0,623.0
36809,2.0,201174.0,1760.0,85007.0,1762.0,670516.0,36809.0
1304,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,1304.0
546367,2.0,1224.0,1236.0,91347.0,1903412.0,568.0,546367.0
210,2.0,29547.0,3031852.0,213849.0,72293.0,209.0,210.0
936347,2.0,1224.0,1236.0,2887326.0,468.0,497.0,936347.0
29442,2.0,1224.0,1236.0,72274.0,135621.0,286.0,29442.0
1824,2.0,201174.0,1760.0,85007.0,85025.0,1817.0,1824.0
37330,2.0,201174.0,1760.0,85007.0,85025.0,1817.0,37330.0
89053,2.0,201174.0,1760.0,85007.0,85026.0,2053.0,89053.0
339863,2.0,201174.0,1760.0,85007.0,85026.0,2053.0,339863.0
410332,2.0,201174.0,1760.0,85007.0,85026.0,2053.0,410332.0
36822,2.0,201174.0,1760.0,85007.0,85026.0,2053.0,36822.0
1829,2.0,201174.0,1760.0,85007.0,85025.0,1827.0,1829.0
67825,2.0,1224.0,1236.0,91347.0,543.0,544.0,67825.0
35749,2157.0,28890.0,183968.0,2258.0,2259.0,2263.0,35749.0
1128108,2157.0,28890.0,183968.0,2258.0,2259.0,2263.0,1128108.0
29471,2.0,1224.0,1236.0,91347.0,1903410.0,122277.0,29471.0
45972,2.0,1239.0,91061.0,1385.0,90964.0,1279.0,45972.0
28896,2.0,1239.0,186801.0,68295.0,186814.0,28895.0,28896.0
554,2.0,1224.0,1236.0,91347.0,1903410.0,122277.0,554.0
56460,2.0,1224.0,1236.0,135614.0,32033.0,338.0,56460.0
79967,2.0,1224.0,1236.0,91347.0,1903409.0,551.0,79967.0
39775,2.0,1224.0,1236.0,135618.0,403.0,39773.0,39775.0
235,2.0,1224.0,28211.0,356.0,118882.0,234.0,235.0
52132,2.0,1224.0,28211.0,356.0,118882.0,234.0,52132.0
29460,2.0,1224.0,28211.0,356.0,118882.0,234.0,29460.0
29461,2.0,1224.0,28211.0,356.0,118882.0,234.0,29461.0
444163,2.0,1224.0,28211.0,356.0,118882.0,234.0,444163.0
29459,2.0,1224.0,28211.0,356.0,118882.0,234.0,29459.0
36855,2.0,1224.0,28211.0,356.0,118882.0,234.0,36855.0
1884818,2.0,1224.0,1236.0,91347.0,543.0,561.0,1884818.0
1290,2.0,1239.0,91061.0,1385.0,90964.0,1279.0,1290.0
29388,2.0,1239.0,91061.0,1385.0,90964.0,1279.0,29388.0
1282,2.0,1239.0,91061.0,1385.0,90964.0,1279.0,1282.0
576,2.0,1224.0,1236.0,91347.0,543.0,570.0,576.0
1509,2.0,1239.0,186801.0,186802.0,31979.0,1485.0,1509.0
69218,2.0,1224.0,1236.0,91347.0,543.0,547.0,69218.0
13689,2.0,1224.0,28211.0,204457.0,41297.0,13687.0,13689.0
663,2.0,1224.0,1236.0,135623.0,641.0,662.0,663.0
1089753,2157.0,28890.0,183963.0,1644055.0,1963271.0,56688.0,1089753.0
1089748,2157.0,28890.0,183963.0,1644055.0,1963271.0,56688.0,1089748.0
1158105,2157.0,28890.0,183963.0,1644055.0,1963271.0,56688.0,1158105.0
1089726,2157.0,28890.0,183963.0,1644055.0,1644056.0,60846.0,1089726.0
137591,2.0,1239.0,91061.0,186826.0,33958.0,46255.0,137591.0
672,2.0,1224.0,1236.0,135623.0,641.0,662.0,672.0
361,2.0,1224.0,28211.0,356.0,82115.0,357.0,361.0
1183401,2.0,1224.0,28211.0,356.0,82115.0,357.0,1183401.0
51367,2.0,1224.0,1236.0,135623.0,641.0,51366.0,51367.0
1352,2.0,1239.0,91061.0,186826.0,81852.0,1350.0,1352.0
313588,2.0,976.0,117743.0,200644.0,49546.0,216431.0,313588.0
1904862,2.0,1224.0,1236.0,135619.0,135620.0,28253.0,1904862.0
1089709,2.0,1853220.0,1853222.0,1853224.0,2893042.0,689697.0,1089709.0
346,2.0,1224.0,1236.0,135614.0,32033.0,338.0,346.0
56449,2.0,1224.0,1236.0,135614.0,32033.0,338.0,56449.0
1890673,2.0,1224.0,28211.0,204455.0,2854170.0,875170.0,1890673.0
1397108,2.0,1224.0,28211.0,204455.0,2854170.0,875170.0,1397108.0
647,2.0,1224.0,1236.0,135624.0,84642.0,642.0,647.0
1912,2.0,201174.0,1760.0,85011.0,2062.0,1883.0,1912.0
1408,2.0,1239.0,91061.0,1385.0,186817.0,1386.0,1408.0
1931,2.0,201174.0,1760.0,85011.0,2062.0,1883.0,1931.0
29449,2.0,1224.0,28211.0,356.0,82115.0,379.0,29449.0
396,2.0,1224.0,28211.0,356.0,82115.0,379.0,396.0
1960103,2.0,1239.0,91061.0,1385.0,186820.0,1637.0,1960103.0
1311,2.0,1239.0,91061.0,186826.0,1300.0,1301.0,1311.0
197,2.0,29547.0,3031852.0,213849.0,72294.0,194.0,197.0
487316,2.0,1224.0,1236.0,2887326.0,468.0,469.0,487316.0
33059,2.0,1224.0,1807140.0,225057.0,225058.0,119977.0,33059.0
1747,2.0,201174.0,1760.0,85009.0,31957.0,1912216.0,1747.0
387092,2.0,29547.0,3031852.0,235899.0,2795691.0,269258.0,387092.0
306,2.0,1224.0,1236.0,72274.0,135621.0,286.0,306.0
588,2.0,1224.0,1236.0,91347.0,1903414.0,586.0,588.0
35743,2157.0,28890.0,183963.0,1644055.0,1963271.0,56688.0,35743.0
28442,2157.0,28890.0,183963.0,2235.0,1963268.0,2237.0,28442.0
35742,2157.0,28890.0,183963.0,2235.0,1963268.0,2237.0,35742.0
413503,2.0,1224.0,1236.0,91347.0,543.0,413496.0,413503.0
244363,2157.0,28890.0,183963.0,2235.0,1963268.0,2237.0,244363.0
1089732,2157.0,28890.0,183963.0,1644055.0,1644056.0,695982.0,1089732.0
1089759,2157.0,28890.0,183963.0,1644055.0,1963271.0,56688.0,1089759.0
198252,2.0,1224.0,28211.0,54526.0,1655514.0,198251.0,198252.0
1465,2.0,1239.0,91061.0,1385.0,186822.0,55080.0,1465.0
1464,2.0,1239.0,91061.0,1385.0,186822.0,44249.0,1464.0
676248,2.0,1297.0,188787.0,68933.0,188786.0,270.0,676248.0
28108,2.0,1224.0,1236.0,135622.0,72275.0,226.0,28108.0
314275,2.0,1224.0,1236.0,135622.0,72275.0,226.0,314275.0
1764,2.0,201174.0,1760.0,85007.0,1762.0,1763.0,1764.0
1405,2.0,1239.0,91061.0,1385.0,186817.0,1386.0,1405.0
267375,2.0,1224.0,1236.0,135622.0,267888.0,53246.0,267375.0
96345,2.0,976.0,117743.0,200644.0,49546.0,237.0,96345.0
1916,2.0,201174.0,1760.0,85011.0,2062.0,1883.0,1916.0
67384,2.0,201174.0,1760.0,85011.0,2062.0,1883.0,67384.0
110662,2.0,1117.0,3028117.0,1890424.0,1890426.0,1129.0,110662.0
563,2.0,1224.0,1236.0,91347.0,543.0,1335483.0,563.0
584,2.0,1224.0,1236.0,91347.0,1903414.0,583.0,584.0
53249,2.0,1224.0,1236.0,135622.0,267888.0,53246.0,53249.0
264691,2.0,1117.0,3028117.0,1161.0,1162.0,264688.0,264691.0
103690,2.0,1117.0,3028117.0,1161.0,1162.0,1177.0,103690.0
161398,2.0,1224.0,1236.0,135622.0,267888.0,53246.0,161398.0
1378061,2.0,1117.0,3028117.0,1150.0,1892254.0,1198.0,1378061.0
