,species_taxid,prev_index,isolation_source,305,34021,562,552,317,549,347,182337,104336,69393,550,375,339,28901,287,251701,2055,1913084,28450,57975,33059,294,198620,1641,1613,1590,1399,1392,1201031,1310165,554,548,456327,396,358,36746
0,,,,Ralstonia solanacearum,Candidatus Liberibacter asiaticus,Escherichia coli,Erwinia amylovora,Pseudomonas syringae,Pantoea agglomerans,Xanthomonas oryzae,Erwinia billingiae,Microbacterium foliorum,Pantoea sp.,Enterobacter cloacae,Bradyrhizobium japonicum,Xanthomonas campestris,Salmonella enterica,Pseudomonas aeruginosa,Pseudomonas syringae group genomosp. 3,Gordonia terrae,Pectobacterium sp.,Burkholderia pseudomallei,Burkholderia thailandensis,Acidithiobacillus caldus,Pseudomonas fluorescens,Pseudomonas koreensis,Listeria grayi,Limosilactobacillus fermentum,Lactiplantibacillus plantarum,Cytobacillus firmus,Bacillus anthracis,Pectobacterium aroidearum,Ralstonia pseudosolanacearum,Pectobacterium carotovorum,Klebsiella aerogenes,Xanthomonas euvesicatoria,Rhizobium phaseoli,Agrobacterium tumefaciens,Pseudomonas cichorii
Ralstonia phage YO180_1,2935387,11559,potato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO178_5,2935386,11558,tomato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO178_4,2935385,11557,tomato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO178_3,2935384,11556,tomato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO178_1,2935383,11555,tomato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO173_2,2935375,11547,potato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO173_1,2935374,11546,potato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO171_2,2935373,11545,potato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO171_1,2935372,11544,potato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralstonia phage YO170_2,2935371,11543,potato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
